algorithm,epsilon,degree,count1,count2,count3,count4,count5,count6,count7,count8,count9,count10
2,0.1,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.714286,0.000000,0.000000,0.000000,0.000000
2,0.1,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.142857,0.000000,0.000000,0.000000,0.000000
2,0.1,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.1,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.1,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.2,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000
2,0.2,1.000000,0.000000,0.000000,0.142857,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
2,0.2,2.000000,0.000000,0.000000,0.142857,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
2,0.2,3.000000,0.000000,0.000000,0.142857,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
2,0.2,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
2,0.2,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
2,0.2,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
2,0.5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,0.5,1.000000,0.000000,0.142857,0.285714,0.000000,0.333333,1.000000,0.000000,0.714286,0.000000,0.000000
2,0.5,2.000000,0.000000,0.142857,0.285714,0.000000,0.000000,0.000000,0.000000,0.714286,0.000000,0.000000
2,0.5,3.000000,0.000000,0.000000,0.285714,0.000000,0.000000,0.000000,0.000000,0.714286,0.000000,0.000000
2,0.5,4.000000,0.000000,0.000000,0.285714,0.000000,0.000000,0.000000,0.000000,0.714286,0.000000,0.000000
2,0.5,5.000000,0.000000,0.000000,0.285714,0.000000,0.000000,0.000000,0.000000,0.714286,0.000000,0.000000
2,0.5,6.000000,0.000000,0.000000,0.285714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,1,1.000000,1.000000,0.750000,0.000000,0.000000,0.500000,1.000000,0.142857,0.714286,1.000000,0.142857
2,1,2.000000,0.000000,0.500000,0.000000,0.000000,0.500000,1.000000,0.142857,0.714286,1.000000,0.142857
2,1,3.000000,0.000000,0.500000,0.000000,0.000000,0.500000,1.000000,0.142857,0.714286,0.666667,0.000000
2,1,4.000000,0.000000,0.500000,0.000000,0.000000,0.500000,1.000000,0.142857,0.714286,0.666667,0.000000
2,1,5.000000,0.000000,0.500000,0.000000,0.000000,0.000000,1.000000,0.142857,0.714286,0.666667,0.000000
2,1,6.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.142857,0.000000,0.000000,0.000000
2,2,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,2,1.000000,0.857143,0.714286,0.800000,1.000000,0.857143,0.857143,1.000000,1.000000,0.428571,0.571429
2,2,2.000000,0.857143,0.285714,0.800000,1.000000,0.857143,0.857143,0.200000,0.857143,0.428571,0.571429
2,2,3.000000,0.857143,0.000000,0.400000,1.000000,0.857143,0.857143,0.200000,0.142857,0.428571,0.285714
2,2,4.000000,0.857143,0.000000,0.400000,0.333333,0.000000,0.857143,0.000000,0.000000,0.428571,0.000000
2,2,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.857143,0.000000,0.000000,0.000000,0.000000
2,2,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,5,1.000000,0.714286,1.000000,1.000000,0.285714,1.000000,1.000000,1.000000,0.000000,1.000000,0.857143
2,5,2.000000,0.714286,1.000000,1.000000,0.142857,0.571429,0.285714,0.714286,0.000000,1.000000,0.857143
2,5,3.000000,0.285714,1.000000,0.571429,0.142857,0.428571,0.285714,0.571429,0.000000,0.714286,0.857143
2,5,4.000000,0.000000,0.000000,0.142857,0.142857,0.428571,0.000000,0.142857,0.000000,0.714286,0.857143
2,5,5.000000,0.000000,0.000000,0.000000,0.142857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,5,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,10,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,10,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.714286,1.000000,0.857143,0.857143,0.857143
2,10,2.000000,0.714286,0.714286,1.000000,0.714286,0.857143,0.714286,1.000000,0.714286,0.571429,0.714286
2,10,3.000000,0.571429,0.571429,0.428571,0.571429,0.285714,0.000000,0.571429,0.142857,0.571429,0.571429
2,10,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.142857,0.000000,0.000000,0.000000
2,10,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,10,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.01,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
3,0.01,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000
3,0.01,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000
3,0.01,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
3,0.01,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.01,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.01,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.02,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,1.000000
3,0.02,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000
3,0.02,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000
3,0.02,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000
3,0.02,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
3,0.02,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
3,0.02,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.05,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
3,0.05,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
3,0.05,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
3,0.05,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
3,0.05,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.05,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.05,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.1,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
3,0.1,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000
3,0.1,2.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000
3,0.1,3.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3,0.1,4.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.1,5.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.1,6.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.2,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000
3,0.2,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.2,2.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.2,3.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.2,4.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.2,5.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.2,6.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.5,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000
3,0.5,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
3,0.5,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
3,0.5,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.5,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.5,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.5,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,1,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000
3,1,1.000000,0.914465,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,1,2.000000,0.000000,1.000000,0.000000,0.765550,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,1,3.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,1,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,1,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,1,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,2,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000
3,2,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.015315,0.000000,0.000000
3,2,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.015315,0.000000,0.000000
3,2,3.000000,0.000000,0.000000,0.000000,0.000000,0.733859,0.000000,0.000000,0.015315,0.000000,0.000000
3,2,4.000000,0.000000,0.000000,0.000000,0.000000,0.733859,0.000000,0.000000,0.000000,0.000000,0.000000
3,2,5.000000,0.000000,0.000000,0.000000,0.000000,0.733859,0.000000,0.000000,0.000000,0.000000,0.000000
3,2,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,5,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
3,5,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,5,2.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,5,3.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,5,4.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,5,5.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,5,6.000000,0.000000,0.000000,0.000000,0.000000,0.481420,0.000000,0.000000,0.000000,0.000000,0.000000
3,10,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000
3,10,1.000000,0.134504,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.770103
3,10,2.000000,0.000000,0.952454,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.145136
3,10,3.000000,0.000000,0.190438,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,10,4.000000,0.000000,0.000000,0.000000,1.000000,0.160914,0.000000,0.000000,0.000000,0.000000,0.000000
3,10,5.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,10,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.01,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,0.01,1.000000,0.923077,0.666667,0.968719,0.238749,0.800000,0.171938,0.794886,0.800000,-0.029252,0.923077
4,0.01,2.000000,0.769231,0.000000,0.807266,0.119375,0.400000,0.143281,0.662405,0.400000,-0.014626,0.769231
4,0.01,3.000000,0.615385,0.000000,0.645813,0.000000,0.000000,0.114625,0.529924,0.000000,-0.000000,0.615385
4,0.01,4.000000,0.461538,0.000000,0.484360,0.000000,0.000000,0.085969,0.397443,0.000000,-0.000000,0.461538
4,0.01,5.000000,0.307692,0.000000,0.322906,0.000000,0.000000,0.057313,0.264962,0.000000,-0.000000,0.307692
4,0.01,6.000000,0.153846,0.000000,0.161453,0.000000,0.000000,0.028656,0.132481,0.000000,-0.000000,0.153846
4,0.02,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,0.02,1.000000,0.923077,0.923077,0.923077,-0.338453,0.923077,7.116835,0.923077,1.212551,0.666667,0.666667
4,0.02,2.000000,0.769231,0.769231,0.769231,-0.169226,0.769231,3.558417,0.769231,1.010459,0.000000,0.000000
4,0.02,3.000000,0.615385,0.615385,0.615385,-0.000000,0.615385,0.000000,0.615385,0.808367,0.000000,0.000000
4,0.02,4.000000,0.461538,0.461538,0.461538,-0.000000,0.461538,0.000000,0.461538,0.606276,0.000000,0.000000
4,0.02,5.000000,0.307692,0.307692,0.307692,-0.000000,0.307692,0.000000,0.307692,0.404184,0.000000,0.000000
